book-imbalance-0.2-2-1,book-imbalance-0.2-5-1,book-delta-v1-0.2-2-1,book-delta-v1-0.2-2-5,book-delta-v1-0.2-2-15,book-delta-v1-0.2-5-1,book-delta-v1-0.2-5-5,book-delta-v1-0.2-5-15,trade-indicator-v1-0.2-2-1-raw,trade-indicator-v2-0.2-2-1-raw,trade-indicator-v1-0.2-2-5-raw,trade-indicator-v2-0.2-2-5-raw,trade-indicator-v1-0.2-2-15-raw,trade-indicator-v2-0.2-2-15-raw,timestamp,mid_price
3770.669434890151,-5207.280060231686,-4.13808579377514,-8.858286467642216,-13.531973322579056,-4.226962280237968,-7.929849974668699,-11.98936489898131,-0.0392304254971671,-3417244.896242398,-0.0513814007485762,-4475857.299459577,-0.0554178533982029,-4827125.049552411,2024-05-01 09:00:00.986609,87139500.0
5966.629632160068,2898.904729411006,-4.338792082147364,-9.4095537631374,-14.399123313938738,-4.366595642400732,-8.634749001569748,-12.943201998433326,-0.0148079450088157,-1289885.6088809469,-0.0424434109290834,-3697273.483561451,-0.052219666949477,-4548560.667582705,2024-05-01 09:00:01.986611,87120200.0
13997.005408778788,3006.9289073199034,-3.793106356303628,-9.426562902203711,-14.866919778585608,-2.41827881736727,-7.71677636587735,-12.59340400044763,-0.0124560645347405,-1085239.5919022085,-0.0417582517931667,-3637788.69846352,-0.0558603891872604,-4865927.471295699,2024-05-01 09:00:02.986613,87132400.0
13997.005408778788,3006.9289073199034,-1.5054904259700714,-7.856935028216265,-13.986447911935963,-0.930820989681647,-6.423754697447931,-11.847679990260852,-0.0145423300602357,-1267159.7146061086,-0.0441487649378393,-3846291.860631609,-0.0622177842712668,-5420031.518054362,2024-05-01 09:00:03.986614,87132400.0
10798.29399587214,88.36785669624805,2.645351504546584,-2.9950280569840126,-10.001636416389555,4.173310047291431,-0.812276382759913,-7.198220177361614,0.0143377297441097,1249578.9873226522,-0.01645839756502,-1433336.4366057175,-0.0385176177789604,-3354736.3492244678,2024-05-01 09:00:04.986615,87132800.0
10620.076333209872,-100.94727408885956,0.2654799680854041,-3.067898493711001,-9.80299042604916,0.8368018899523073,-1.281006367474458,-7.195981215184174,-0.0062619359940697,-545600.1228561677,-0.0250114882328656,-2178811.162568312,-0.0475699924789955,-4143673.8300509593,2024-05-01 09:00:05.986615,87132900.0
10431.202891618012,-1080.079343676567,-0.1111613493870262,-2.684741975791396,-9.249926863101225,1.4092422843402963,-0.1297289808373107,-5.872568301535498,-0.0127580435141497,-1111721.3601649932,-0.0309320805964952,-2694865.995809864,-0.0549564662420018,-4787442.103570985,2024-05-01 09:00:06.986615,87133000.0
12116.089610040188,2137.0597620159388,0.7296237727282402,-1.770559662243652,-8.33630964998603,1.3503906882840049,0.3732044827238832,-5.155783946339986,-0.0044934219184263,-391550.0327158535,-0.0251250456410373,-2188940.266193655,-0.051212158042047,-4461256.128325118,2024-05-01 09:00:07.986615,87133000.0
3081.444862172008,1600.0934513360262,-5.744823027060318,-6.241005088982495,-11.861292656281652,-8.280829669309977,-6.698583150664467,-10.766295071424947,-0.0483368335442982,-4212108.171635828,-0.0672544435388051,-5860217.676993109,-0.0945931275668781,-8241601.234472919,2024-05-01 09:00:08.986616,87118100.0
3099.977385535836,1200.0093987435102,-1.8216643728811144,-4.84025049217673,-10.803287020410496,-3.2779061351657357,-5.642784764071957,-10.15294887170171,-0.0182666933122734,-1591729.791672488,-0.0555478472063665,-4840122.223222904,-0.0889770975748013,-7752257.3140320545,2024-05-01 09:00:09.986616,87118100.0
4800.818394213915,2029.4784656465051,-2.581133658512668,-5.414683277323519,-11.314939216758503,-4.45424112704157,-7.113149058827476,-11.583976376473418,-0.1625239389277692,-14155965.506458413,-0.2012827287751291,-17533157.753010765,-0.2390426942890665,-20822691.707241435,2024-05-01 09:00:10.986617,87115700.0
-7758.471621930599,-941.7342374771832,-1.4947170972891772,-4.875144833520148,-10.930069630564518,-3.675519258907989,-7.401330791027049,-12.13085394918873,-0.0597179358297293,-5201454.090230132,-0.1647250801116526,-14348700.861429555,-0.2235548302281993,-19473538.949756306,2024-05-01 09:00:11.986618,87106900.0
-8086.4695564210415,-1671.1028620153666,0.4414919127887824,-3.254593324219875,-9.57007910791538,1.0154229377845487,-4.226397536117798,-9.757999652857322,-0.0181968868609528,-1584956.894592774,-0.1310933748906442,-11419171.532568907,-0.2053649912160379,-17889080.581382293,2024-05-01 09:00:12.986618,87107400.0
4576.7358027249575,1590.6721546798944,-0.4652172004147004,-3.3843581275028747,-9.596606433880162,-0.2395058306286716,-4.208237104916684,-9.77477502809361,-0.0066942605694673,-583073.0566636143,-0.1073301775477513,-9349226.908386791,-0.1921203837635603,-16735359.83967661,2024-05-01 09:00:13.986619,87114300.0
3858.865051433444,1806.2684418410065,1.2369496373884807,-1.946668885778136,-8.333577979000879,1.3052850366092037,-2.651028761063622,-8.510513784869485,0.0054487411626483,474626.7265543388,-0.0799630950916639,-6965372.270598576,-0.1718185389777656,-14966918.71023321,2024-05-01 09:00:14.986619,87115100.0
4566.863586425781,1583.4997824579475,0.2569227419048811,-1.602963176500568,-7.747252205853987,0.286802926522354,-2.1696159715894145,-7.914749927048346,0.0252777378540029,2202582.591220959,-0.0421949870628443,-3674787.308284546,-0.137464185371627,-11973679.821532462,2024-05-01 09:00:15.986619,87114300.0
