,timestamp,host,host_ip,ping_size,time,ttl,min,avg,max,stddev
51,2024-03-31 14:00:05,api.binance.com,52.84.252.75,64,5.3,244,5.3,5.3,5.3,0.0
52,2024-03-31 14:00:05,api.bitflyer.com,104.76.93.43,64,4.657,51,4.657,4.657,4.657,0.0
53,2024-03-31 14:00:05,www.upbit.com,104.17.186.185,64,6.985,52,6.985,6.985,6.985,0.0
54,2024-03-31 14:00:06,api.upbit.com,3.38.54.27,64,9.177,238,9.177,9.177,9.177,
55,2024-03-31 14:00:06,api.bitflyer.com,104.76.93.43,64,5.459,51,5.459,5.459,5.459,0.0
56,2024-03-31 14:00:06,api.binance.com,52.84.252.75,64,5.031,244,5.031,5.031,5.031,
57,2024-03-31 14:00:06,www.bithumb.com,23.43.165.80,64,5.663,51,5.663,5.663,5.663,
58,2024-03-31 14:00:06,api.bithumb.com,23.52.32.184,64,6.27,51,6.27,6.27,6.27,
59,2024-03-31 14:00:06,www.upbit.com,104.17.186.185,64,7.918,52,7.918,7.918,7.918,
60,2024-03-31 14:00:07,api.upbit.com,3.38.54.27,64,6.445,238,6.445,6.445,6.445,0.0
61,2024-03-31 14:00:07,api.binance.com,52.84.252.75,64,6.475,244,6.475,6.475,6.475,0.0
62,2024-03-31 14:00:07,api.bitflyer.com,104.76.93.43,64,4.759,51,4.759,4.759,4.759,0.0
63,2024-03-31 14:00:07,www.bithumb.com,23.43.165.80,64,4.988,51,4.988,4.988,4.988,0.0
64,2024-03-31 14:00:07,api.bithumb.com,23.52.32.184,64,5.06,51,5.06,5.06,5.06,0.0
65,2024-03-31 14:00:07,www.upbit.com,104.17.186.185,64,7.226,52,7.226,7.226,7.226,
66,2024-03-31 14:00:08,api.upbit.com,3.38.54.27,64,8.988,238,8.988,8.988,8.988,0.0
67,2024-03-31 14:00:08,api.binance.com,52.84.252.75,64,7.004,244,7.004,7.004,7.004,
68,2024-03-31 14:00:08,api.bitflyer.com,104.76.93.43,64,5.588,51,5.588,5.588,5.588,0.0
