,timestamp,host,host_ip,ping_size,time,ttl,min,avg,max,stddev
0,2024-03-31 14:15:55,api.bithumb.com,104.109.240.243,64,6.498,51,6.498,6.498,6.498,
1,2024-03-31 14:15:55,www.bithumb.com,23.43.165.80,64,5.916,51,5.916,5.916,5.916,
2,2024-03-31 14:15:55,www.upbit.com,104.17.186.185,64,7.072,52,7.072,7.072,7.072,0.0
3,2024-03-31 14:15:55,api.binance.com,52.84.252.75,64,6.675,244,6.675,6.675,6.675,0.0
4,2024-03-31 14:15:55,api.upbit.com,43.202.82.40,64,6.756,238,6.756,6.756,6.756,0.0
5,2024-03-31 14:15:55,api.bitflyer.com,104.76.93.43,64,7.645,51,7.645,7.645,7.645,
6,2024-03-31 14:15:56,www.bithumb.com,23.43.165.80,64,5.74,51,5.74,5.74,5.74,
7,2024-03-31 14:15:56,api.bithumb.com,104.109.240.243,64,5.919,51,5.919,5.919,5.919,0.0
8,2024-03-31 14:15:56,api.binance.com,52.84.252.75,64,5.168,244,5.168,5.168,5.168,
9,2024-03-31 14:15:56,api.upbit.com,43.202.82.40,64,7.245,238,7.245,7.245,7.245,0.0
10,2024-03-31 14:15:56,www.upbit.com,104.17.186.185,64,6.966,52,6.966,6.966,6.966,
11,2024-03-31 14:15:56,api.bitflyer.com,104.76.93.43,64,7.506,51,7.506,7.506,7.506,0.0
12,2024-03-31 14:15:57,www.bithumb.com,23.43.165.80,64,6.437,51,6.437,6.437,6.437,
13,2024-03-31 14:15:57,api.bithumb.com,104.109.240.243,64,5.243,51,5.243,5.243,5.243,0.0
14,2024-03-31 14:15:57,api.upbit.com,43.202.82.40,64,6.599,238,6.599,6.599,6.599,
15,2024-03-31 14:15:57,api.binance.com,52.84.252.75,64,5.308,244,5.308,5.308,5.308,0.0
16,2024-03-31 14:15:57,www.upbit.com,104.17.186.185,64,6.251,52,6.251,6.251,6.251,0.0
17,2024-03-31 14:15:57,api.bitflyer.com,104.76.93.43,64,6.566,51,6.566,6.566,6.566,0.0
18,2024-03-31 14:15:58,www.bithumb.com,23.43.165.80,64,5.897,51,5.897,5.897,5.897,0.0
19,2024-03-31 14:15:58,api.bithumb.com,104.109.240.243,64,5.987,51,5.987,5.987,5.987,
20,2024-03-31 14:15:58,api.upbit.com,43.202.82.40,64,7.234,238,7.234,7.234,7.234,0.0
21,2024-03-31 14:15:58,api.binance.com,52.84.252.75,64,6.085,244,6.085,6.085,6.085,0.0
22,2024-03-31 14:15:58,www.upbit.com,104.17.186.185,64,7.252,52,7.252,7.252,7.252,
23,2024-03-31 14:15:58,api.bitflyer.com,104.76.93.43,64,7.273,51,7.273,7.273,7.273,
24,2024-03-31 14:15:59,www.bithumb.com,23.43.165.80,64,6.752,51,6.752,6.752,6.752,0.0
25,2024-03-31 14:15:59,api.bithumb.com,104.109.240.243,64,6.525,51,6.525,6.525,6.525,
26,2024-03-31 14:15:59,api.binance.com,52.84.252.75,64,5.646,244,5.646,5.646,5.646,0.0
27,2024-03-31 14:15:59,api.upbit.com,43.202.82.40,64,8.054,238,8.054,8.054,8.054,
28,2024-03-31 14:15:59,www.upbit.com,104.17.186.185,64,7.883,52,7.883,7.883,7.883,
29,2024-03-31 14:15:59,api.bitflyer.com,104.76.93.43,64,5.635,51,5.635,5.635,5.635,
30,2024-03-31 14:16:00,api.bithumb.com,104.109.240.243,64,6.129,51,6.129,6.129,6.129,0.0
31,2024-03-31 14:16:00,www.bithumb.com,23.43.165.80,64,5.602,51,5.602,5.602,5.602,0.0
32,2024-03-31 14:16:00,api.binance.com,52.84.252.75,64,6.117,244,6.117,6.117,6.117,0.0
33,2024-03-31 14:16:00,api.upbit.com,43.202.82.40,64,7.217,238,7.217,7.217,7.217,0.0
34,2024-03-31 14:16:00,www.upbit.com,104.17.186.185,64,7.315,52,7.315,7.315,7.315,0.0
35,2024-03-31 14:16:01,api.bitflyer.com,104.76.93.43,64,5.699,51,5.699,5.699,5.699,
36,2024-03-31 14:16:01,api.bithumb.com,104.109.240.243,64,7.861,51,7.861,7.861,7.861,
37,2024-03-31 14:16:01,www.bithumb.com,23.43.165.80,64,6.15,51,6.15,6.15,6.15,0.0
38,2024-03-31 14:16:01,api.binance.com,52.84.252.75,64,6.328,244,6.328,6.328,6.328,
39,2024-03-31 14:16:01,api.upbit.com,43.202.82.40,64,7.311,238,7.311,7.311,7.311,0.0
40,2024-03-31 14:16:01,www.upbit.com,104.17.186.185,64,6.774,52,6.774,6.774,6.774,0.0
41,2024-03-31 14:16:02,api.bitflyer.com,104.76.93.43,64,10.857,51,10.857,10.857,10.857,
42,2024-03-31 14:16:02,www.bithumb.com,23.43.165.80,64,6.466,51,6.466,6.466,6.466,
43,2024-03-31 14:16:02,api.bithumb.com,104.109.240.243,64,6.817,51,6.817,6.817,6.817,0.0
